"Year","Area (use fill down)","Street (use find and replace to replace the odd character with a space)","Street 2 (in Refine use titlecase and cluster and edit)","Strange HTML (use unescape HTML)"
2011,"Birmingham","GILES CLOSE, STECHFORD","GILES CLOSE, STECHFORD","NA"
2011,"Birmingham","Glazedale road","Glazedale road","NA"
2011,"Birmingham","Gospel Farm Road","Gospel Farm Road","NA"
2011,"Birmingham","Gospel Farm Road","Gospel Farm Road","NA"
2011,"Birmingham","Gospel lane","Gospel lane","NA"
2011,"Birmingham","Gospel lane","Gospel lane","NA"
2011,"Birmingham","Gospel Lane","Gospel Lane","NA"
2011,"Birmingham","Gospel lane, acocks green","Gospel lane, acocks green","NA"
2011,"Birmingham","Grace Church, Sutton Coldfield","Grace Church, Sutton Coldfield","NA"
2011,"Birmingham","Great Hampton Street","Great Hampton Street","NA"
2011,"Birmingham","Green Lane","Green Lane","NA"
2011,"Birmingham","Greswell lane Shard End","Greswell lane Shard End","NA"
2011,"Birmingham","Harlequin drive, Mosley","Harlequin drive, Mosley","NA"
2011,"Birmingham","Haslucks Green Road","Haslucks Green Road","NA"
2011,"Birmingham","Hazeldean Road","Hazeldean Road","NA"
2011,"Birmingham","Heartlands Hospital","Heartlands Hospital","NA"
2011,"Birmingham","Heartlands Hospital","Heartlands Hospital","NA"
2011,"Birmingham","Heartlands Hospital A & E.","Heartlands Hospital A & E.","NA"
2011,"Birmingham","Heartlands Hospital A & E.","Heartlands Hospital A & E.","NA"
2011,"Birmingham","Heartlands hospital A & E.","Heartlands hospital A & E.","NA"
2011,"Birmingham","Hepben Grove","Hepben Grove","NA"
2011,"Birmingham","Herrick Road","Herrick Road","NA"
2011,"Birmingham","Herrick Road, Washwood Heath","Herrick Road, Washwood Heath","NA"
2011,"Birmingham","Herrick Road, Washwood Heath","Herrick Road, Washwood Heath","NA"
2011,"Birmingham","High St Solihull","High St Solihull","NA"
2011,"Birmingham","HIGH STREET KINGS HEATH","HIGH STREET KINGS HEATH","NA"
2011,"Birmingham","High Street Kings Heath","High Street Kings Heath","NA"
2011,"Birmingham","High street, kings heath","High street, kings heath","NA"
2011,"Birmingham","Hob Moor Road at Starbank Road","Hob Moor Road at Starbank Road","NA"
2011,"Birmingham","Holloway head Bham City centre","Holloway head Bham City centre","NA"
2011,"Birmingham","Hollywell Road","Hollywell Road","NA"
2011,"Birmingham","Home address","Home address","NA"
2011,"Birmingham","Home Address","Home Address","NA"
2011,"Birmingham","Homer street","Homer street","NA"
2011,"Birmingham","Hunters Moon Public house.","Hunters Moon Public house.","NA"
2011,"Birmingham","Hurst Street","Hurst Street","NA"
2011,"Birmingham","Hurst Street","Hurst Street","NA"
2011,"Birmingham","Hurst Street","Hurst Street","NA"
2011,"Birmingham","Hurst Street, Birmingham","Hurst Street, Birmingham","NA"
2011,"Birmingham","Kings Heath High Street","Kings Heath High Street","NA"
2011,"Birmingham","KNOWLE RD, SMALL HEATH, BHAM","KNOWLE RD, SMALL HEATH, BHAM","NA"
2011,"Birmingham","Ladypool Road","Ladypool Road","NA"
2011,"Birmingham","Ladypool Road","Ladypool Road","NA"
2011,"Birmingham","Ladywell Walk","Ladywell Walk","NA"
2011,"Birmingham","Lea Hall RD","Lea Hall RD","NA"
2011,"Birmingham","Lea Hall rd","Lea Hall rd","NA"
2011,"Birmingham","Lea Village, Stechford","Lea Village, Stechford","NA"
2011,"Birmingham","Lenches Close, Mosley","Lenches Close, Mosley","NA"
2011,"Birmingham","Lime Tree Road","Lime Tree Road","NA"
2011,"Birmingham","Lode Lane @ Hermitage Road","Lode Lane @ Hermitage Road","NA"
2011,"Birmingham","Long street","Long street","NA"
2011,"Birmingham","Long Street. Sparkhill","Long Street. Sparkhill","NA"
2011,"Birmingham","Longbridge Lane","Longbridge Lane","NA"
2011,"Birmingham","LONGMEADOW CRESCENT SHARD END , BHAM","LONGMEADOW CRESCENT SHARD END , BHAM","NA"
2011,"Birmingham","Maccadown Lane","Maccadown Lane","NA"
2011,"Birmingham","Masshouse lane","Masshouse lane","NA"
2011,"Birmingham","Meadwaym Stechford","Meadwaym Stechford","NA"
2011,"Birmingham","Mickleover Road, Bromford","Mickleover Road, Bromford","NA"
2011,"Birmingham","Moorcroft road","Moorcroft road","NA"
2011,"Birmingham","Moseley Road","Moseley Road","NA"
2011,"Birmingham","Moseley road","Moseley road","NA"
2011,"Birmingham","Moseley road","Moseley road","NA"
2011,"Birmingham","Moseley road","Moseley road","NA"
2011,"Birmingham","Moseley Village","Moseley Village","NA"
2011,"Birmingham","Moseley Village","Moseley Village","NA"
2011,"Birmingham","Moseley Village, Alcester road","Moseley Village, Alcester road","NA"
2011,"Birmingham","Mosley All Services Club, Church Road, Moseley.","Mosley All Services Club, Church Road, Moseley.","NA"
2011,"Birmingham","Nearlands Close Quinton","Nearlands Close Quinton","NA"
2011,"Birmingham","New street","New street","NA"
2011,"Birmingham","Northfield High Street","Northfield High Street","NA"
2011,"Birmingham","O/S BEHANS, HIGHFIELD ROAD, BILLESLEY","O/S BEHANS, HIGHFIELD ROAD, BILLESLEY","NA"
2011,"Birmingham","O/S The junction, Mosley Village","O/S The junction, Mosley Village","NA"
2011,"Birmingham","O/S Washwood Heath road","O/S Washwood Heath road","NA"
2011,"Birmingham","Oakhill Road, Acocks Green","Oakhill Road, Acocks Green","NA"
2011,"Birmingham","Opp white hart lane cooks lane","Opp white hart lane cooks lane","NA"
2011,"Birmingham","Opposite, ALDI, Stratford Road","Opposite, ALDI, Stratford Road","NA"
2011,"Birmingham","Outside Java lounge Alcester Road","Outside Java lounge Alcester Road","NA"
2011,"Birmingham","Outside O2 Academy Night Club B'ham City Centre","Outside O2 Academy Night Club B'ham City Centre","NA"
2011,"Birmingham","Outside raven public house","Outside raven public house","NA"
2011,"Birmingham","Packington Avenue, Shard End","Packington Avenue, Shard End","NA"
2011,"Birmingham","Park off hob moor road","Park off hob moor road","NA"
2011,"Birmingham","Parkhall Croft","Parkhall Croft","NA"
2011,"Birmingham","Pear Tree PH","Pear Tree PH","NA"
2011,"Birmingham","Police station","Police station","NA"
2011,"Birmingham","Police Station Stechford","Police Station Stechford","NA"
2011,"Birmingham","Poplar road","Poplar road","NA"
2011,"Birmingham","Poplar road","Poplar road","NA"
2011,"Birmingham","Poplar road , solihull","Poplar road , solihull","NA"
2011,"Birmingham","Poplar road, solihull","Poplar road, solihull","NA"
2011,"Birmingham","Preston Road","Preston Road","NA"
2011,"Birmingham","Priory Road, Hall Green","Priory Road, Hall Green","NA"
2011,"Birmingham","Prospect road","Prospect road","NA"
2011,"Birmingham","Queenswood road","Queenswood road","NA"
2011,"Birmingham","Rear of boots, high street","Rear of boots, high street","NA"
2011,"Birmingham","REDDINGS LANE, TSYLEY","REDDINGS LANE, TSYLEY","NA"
2011,"Birmingham","Richmond Primary Care Centre, Richmond Road, Stechford","Richmond Primary Care Centre, Richmond Road, Stechford","NA"
2011,"Birmingham","Ring road, stourbridge","Ring road, stourbridge","NA"
2011,"Birmingham","Sainsburys, wawrick road","Sainsburys, wawrick road","NA"
2011,"Birmingham","Sainsburys. alcester road south","Sainsburys. alcester road south","NA"
2011,"Birmingham","Sandford Road Moseley","Sandford Road Moseley","NA"
2011,"Birmingham","Sarehole Mill","Sarehole Mill","NA"
2011,"Birmingham","Sedgemere Road","Sedgemere Road","NA"
2011,"Birmingham","Shirley Road","Shirley Road","NA"
2011,"Birmingham","SHirley Road","SHirley Road","NA"
2011,"Birmingham","Snow Hill","Snow Hill","NA"
2011,"Birmingham","Solihull Lane","Solihull Lane","NA"
2011,"Birmingham","St Mary's Road, Moseley","St Mary's Road, Moseley","NA"
2011,"Birmingham","St Marys Row","St Marys Row","NA"
2011,"Birmingham","Station road","Station road","NA"
2011,"Birmingham","Station Way, Birmingham International rail Station","Station Way, Birmingham International rail Station","NA"
2011,"Birmingham","Stechford front office","Stechford front office","NA"
2011,"Birmingham","Stechford P.S.","Stechford P.S.","NA"
2011,"Birmingham","Stechford Retail Park.","Stechford Retail Park.","NA"
2011,"Birmingham","Stonehenge croft Druids heath","Stonehenge croft Druids heath","NA"
2011,"Birmingham","Stoney Lane","Stoney Lane","NA"
2011,"Birmingham","Stoney Lane","Stoney Lane","NA"
2011,"Birmingham","Stoney lane","Stoney lane","NA"
2011,"Birmingham","STRATFORD HEATH, SPARK HILL, BIRMINGHAM","STRATFORD HEATH, SPARK HILL, BIRMINGHAM","NA"
2011,"Birmingham","Stratford road","Stratford road","NA"
2011,"Birmingham","Stratford road","Stratford road","NA"
2011,"Birmingham","Stratford Road","Stratford Road","NA"
2011,"Birmingham","Stratford road, hall green","Stratford road, hall green","NA"
2011,"Birmingham","Stratford roads","Stratford roads","NA"
2011,"Birmingham","Stuart Road, Stechford","Stuart Road, Stechford","NA"
2011,"Birmingham","Talbort street","Talbort street","NA"
2011,"Birmingham","Taunton Road","Taunton Road","NA"
2011,"Birmingham","Tavistock road","Tavistock road","NA"
2011,"Birmingham","The avenue","The avenue","NA"
2011,"Birmingham","The paer tree pub","The paer tree pub","NA"
2011,"Birmingham","Trafalger Road","Trafalger Road","NA"
2011,"Birmingham","Wake green Road","Wake green Road","NA"
2011,"Birmingham","Ward End Road","Ward End Road","NA"
2011,"Birmingham","Warwick Road","Warwick Road","NA"
2011,"Birmingham","Warwick Road","Warwick Road","NA"
2011,"Birmingham","Warwick Road","Warwick Road","NA"
2011,"Birmingham","Warwick Road","Warwick Road","NA"
2011,"Birmingham","Warwick Road","Warwick Road","NA"
2011,"Birmingham","Warwick Road Tysley","Warwick Road Tysley","NA"
2011,"Birmingham","Wash lane","Wash lane","NA"
2011,"Birmingham","Washford Heath Road","Washford Heath Road","NA"
2011,"Birmingham","Washwood Heath pub","Washwood Heath pub","NA"
2011,"Birmingham","WASHWOOD HEATH RD, WASHWOOD HEATH, BHAM","WASHWOOD HEATH RD, WASHWOOD HEATH, BHAM","NA"
2011,"Birmingham","Washwood Heath road","Washwood Heath road","NA"
2011,"Birmingham","Washwood Heath Road","Washwood Heath Road","NA"
2011,"Birmingham","Washwood Heath Road","Washwood Heath Road","NA"
2011,"Birmingham","Washwood Heath Road","Washwood Heath Road","NA"
2011,"Birmingham","Watery Lane Middleway, Birmingham","Watery Lane Middleway, Birmingham","NA"
2011,"Birmingham","Wawrick road","Wawrick road","NA"
2011,"Birmingham","Welshfarm Road, Quinton","Welshfarm Road, Quinton","NA"
2011,"Birmingham","Westley Road","Westley Road","NA"
2011,"Birmingham","Westley Road, Acocks Green","Westley Road, Acocks Green","NA"
2011,"Birmingham","White Hart Public House","White Hart Public House","NA"
2011,"Birmingham","White Hart Public House","White Hart Public House","NA"
2011,"Birmingham","Whiteheart pub, Gressell Lane","Whiteheart pub, Gressell Lane","NA"
2011,"Birmingham","William Hill Bookmakers, Washwood Heath Road","William Hill Bookmakers, Washwood Heath Road","NA"
2011,"Birmingham","William Hill Bookmakers, Washwood Heath Road","William Hill Bookmakers, Washwood Heath Road","NA"
2011,"Birmingham","William Hill Washwood Heath Road","William Hill Washwood Heath Road","NA"
2011,"Birmingham","Windward Road","Windward Road","NA"
2011,"Birmingham","Windward Road","Windward Road","NA"
2011,"Birmingham","Wood End Road, Erdington","Wood End Road, Erdington","NA"
2011,"Birmingham","Woodbridge road, moseley","Woodbridge road, moseley","NA"
2011,"Birmingham","Wright Street","Wright Street","NA"
2011,"Birmingham","Yardley green road","Yardley green road","NA"
2011,"Birmingham","Yardley road acocks green","Yardley road acocks green","NA"
2011,"Birmingham","Yardley Wood Road","Yardley Wood Road","NA"
2011,"Birmingham","Yardley Wood Road","Yardley Wood Road","NA"
2011,"Birmingham","Yew Tree car park","Yew Tree car park","NA"
2011,"Birmingham","Yew Tree Lane","Yew Tree Lane","NA"
2011,"Birmingham","Yew Tree public house car park.","Yew Tree public house car park.","NA"
2011,"Birmingham","Armada Pub, Slade Road, Erdington, Birmingham","Armada Pub, Slade Road, Erdington, Birmingham","NA"
2011,"Birmingham","Armarda Pub,  Gravelly Hill","Armarda Pub,  Gravelly Hill","NA"
2011,"Birmingham","Armarda Pub, Gravelly Hill","Armarda Pub, Gravelly Hill","NA"
2011,"Birmingham","BADGERS BANK ROAD","BADGERS BANK ROAD","NA"
2011,"Birmingham","Baldmoor Lake Road, Erdington, Birmingham.","Baldmoor Lake Road, Erdington, Birmingham.","NA"
2011,"Birmingham","Bandywood Rd, kingstanding","Bandywood Rd, kingstanding","NA"
2011,"Birmingham","Beckenham Road","Beckenham Road","NA"
2011,"Birmingham","Beeches Walk","Beeches Walk","NA"
2011,"Birmingham","BIRMINGHAM RD","BIRMINGHAM RD","NA"
2011,"Birmingham","BIRMINGHAM RD","BIRMINGHAM RD","NA"
2011,"Birmingham","Birmingham Rd, SC","Birmingham Rd, SC","NA"
2011,"Birmingham","Birmingham Road","Birmingham Road","NA"
2011,"Birmingham","Birmingham Road","Birmingham Road","NA"
2011,"Birmingham","Birmingham road sutton","Birmingham road sutton","NA"
2011,"Birmingham","Birmingham Road, Erdington","Birmingham Road, Erdington","NA"
2011,"Birmingham","Birmingham Road, Sutton Coldfield","Birmingham Road, Sutton Coldfield","NA"
2011,"Birmingham","Birmingham Road, Sutton Coldfield","Birmingham Road, Sutton Coldfield","NA"
2011,"Birmingham","BOWLING GREEN CLOSE","BOWLING GREEN CLOSE","NA"
2011,"Birmingham","Bracebridge Road, Erdington","Bracebridge Road, Erdington","NA"
2011,"Birmingham","Brassington avenue","Brassington avenue","NA"
2011,"Birmingham","Bromford Lane","Bromford Lane","NA"
2011,"Birmingham","Bromford Lane, Erdington, B'ham","Bromford Lane, Erdington, B'ham","NA"
2011,"Birmingham","Brookvale park Road","Brookvale park Road","NA"
2011,"Birmingham","Carhampton Road, Falcon Lodge, Sutton Colfield","Carhampton Road, Falcon Lodge, Sutton Colfield","NA"
2011,"Birmingham","Carshalton Road","Carshalton Road","NA"
2011,"Birmingham","Carshorlton Road","Carshorlton Road","NA"
2011,"Birmingham","Chester rd","Chester rd","NA"
2011,"Birmingham","CHESTER ROAD","CHESTER ROAD","NA"
2011,"Birmingham","Chester Road, Halls garden Centre","Chester Road, Halls garden Centre","NA"
2011,"Birmingham","CHURCH RD AT CHESTER RD","CHURCH RD AT CHESTER RD","NA"
2011,"Birmingham","College Road, Kingstanding, B'ham","College Road, Kingstanding, B'ham","NA"
2011,"Birmingham","College Road, Kingstanding, B'ham","College Road, Kingstanding, B'ham","NA"
2011,"Birmingham","Copshill Court, Mount View, Sutton Coldfield","Copshill Court, Mount View, Sutton Coldfield","NA"
2011,"Birmingham","Dovedale Road, Erdington, B'ham","Dovedale Road, Erdington, B'ham","NA"
2011,"Birmingham","Downside Road, Erdington, B'ham","Downside Road, Erdington, B'ham","NA"
2011,"Birmingham","Eachelhurt Road, Erdington","Eachelhurt Road, Erdington","NA"
2011,"Birmingham","ERDINGTON HALL ROAD","ERDINGTON HALL ROAD","NA"
2011,"Birmingham","ERDINGTON HALL ROAD","ERDINGTON HALL ROAD","NA"
2011,"Birmingham","Erdington High Street","Erdington High Street","NA"
2011,"Birmingham","Fentham Road, Erdington, B'ham","Fentham Road, Erdington, B'ham","NA"
2011,"Birmingham","FINCHLEY ROAD","FINCHLEY ROAD","NA"
2011,"Birmingham","Finchley Road, Kingstanding, B'ham","Finchley Road, Kingstanding, B'ham","NA"
2011,"Birmingham","GEORGE FREDERICK ROAD","GEORGE FREDERICK ROAD","NA"
2011,"Birmingham","Golden Pond take away Û Boldmere Road","Golden Pond take away Û Boldmere Road","NA"
2011,"Birmingham","Good hope hospital","Good hope hospital","NA"
2011,"Birmingham","Gracechurch Centre","Gracechurch Centre","NA"
2011,"Birmingham","Gracechurch centre, outside Supercigs","Gracechurch centre, outside Supercigs","NA"
2011,"Birmingham","GraceChurch Shopping Centre, Sutton Coldfield","GraceChurch Shopping Centre, Sutton Coldfield","NA"
2011,"Birmingham","Grassed area , pype hayes park....","Grassed area , pype hayes park....","NA"
2011,"Birmingham","Gravelley lane","Gravelley lane","NA"
2011,"Birmingham","Gravelley lane","Gravelley lane","NA"
2011,"Birmingham","Gravelley lane","Gravelley lane","NA"
2011,"Birmingham","Gravelly Lane, Erdington, Birmingham","Gravelly Lane, Erdington, Birmingham","NA"
2011,"Birmingham","Hairy lemon pub .sutton coldfield","Hairy lemon pub .sutton coldfield","NA"
2011,"Birmingham","Hairy lemon pub .sutton coldfield","Hairy lemon pub .sutton coldfield","NA"
2011,"Birmingham","Hermatige Road","Hermatige Road","NA"
2011,"Birmingham","Hermatige Road","Hermatige Road","NA"
2011,"Birmingham","HERMITAGE DRIVE","HERMITAGE DRIVE","NA"
2011,"Birmingham","High Street","High Street","NA"
2011,"Birmingham","High street erdington","High street erdington","NA"
2011,"Birmingham","High street, erdington","High street, erdington","NA"
2011,"Birmingham","High Street, Erdington","High Street, Erdington","NA"
2011,"Birmingham","High Street, S/C","High Street, S/C","NA"
2011,"Birmingham","High Street, S/C","High Street, S/C","NA"
2011,"Birmingham","Hight St ErdINGTON","Hight St ErdINGTON","NA"
2011,"Birmingham","HUNTON HILL","HUNTON HILL","NA"
2011,"Birmingham","KFC retail outlet , Erdington High street","KFC retail outlet , Erdington High street","NA"
2011,"Birmingham","Kingsbury Road, Erdington, B'ham","Kingsbury Road, Erdington, B'ham","NA"
2011,"Birmingham","Kingstanding Circle","Kingstanding Circle","NA"
2011,"Birmingham","Ladywell Walk, Birmingham","Ladywell Walk, Birmingham","NA"
2011,"Birmingham","Landsdown Road","Landsdown Road","NA"
2011,"Birmingham","LICHFIELD ROAD, MERE GREEN","LICHFIELD ROAD, MERE GREEN","NA"
2011,"Birmingham","LICHFIELD ROAD, SUTTON COLDFIELD","LICHFIELD ROAD, SUTTON COLDFIELD","NA"
2011,"Birmingham","Lindridge Road, Sutton Coldfield","Lindridge Road, Sutton Coldfield","NA"
2011,"Birmingham","Little aston lane","Little aston lane","NA"
2011,"Birmingham","LONGFORD ROAD","LONGFORD ROAD","NA"
2011,"Birmingham","Longford Road, Kingstanding, B'ham","Longford Road, Kingstanding, B'ham","NA"
2011,"Birmingham","Lower parade","Lower parade","NA"
2011,"Birmingham","LOWER PARADE","LOWER PARADE","NA"
2011,"Birmingham","Lower parade","Lower parade","NA"
2011,"Birmingham","Lower parade","Lower parade","NA"
2011,"Birmingham","Lower parade","Lower parade","NA"
2011,"Birmingham","Lower parade","Lower parade","NA"
2011,"Birmingham","LOWER PARADE","LOWER PARADE","NA"
2011,"Birmingham","Lower Parade","Lower Parade","NA"
2011,"Birmingham","Lower Parade","Lower Parade","NA"
2011,"Birmingham","LOWER PARADE","LOWER PARADE","NA"
2011,"Birmingham","Lower Parade","Lower Parade","NA"
2011,"Birmingham","LOWER PARADE","LOWER PARADE","NA"
2011,"Birmingham","Lower Parade","Lower Parade","NA"
2011,"Birmingham","LOWER PARADE","LOWER PARADE","NA"
2011,"Birmingham","LOWER PARADE","LOWER PARADE","NA"
2011,"Birmingham","Lower Parade","Lower Parade","NA"
2011,"Birmingham","Lower Parade","Lower Parade","NA"
2011,"Birmingham","Lower Parade","Lower Parade","NA"
2011,"Birmingham","LOWER PARADE","LOWER PARADE","NA"
2011,"Birmingham","Lower parade SC","Lower parade SC","NA"
2011,"Birmingham","LOWER PARADE SUTTON","LOWER PARADE SUTTON","NA"
2011,"Birmingham","Lower Parade Sutton Coldfield","Lower Parade Sutton Coldfield","NA"
2011,"Birmingham","Lower parade,","Lower parade,","NA"
2011,"Birmingham","Lower parade, Suton Coldfield","Lower parade, Suton Coldfield","NA"
2011,"Birmingham","Lower Parade, Sutton Coldfield","Lower Parade, Sutton Coldfield","NA"
2011,"Birmingham","Lower parade, sutton coldfield","Lower parade, sutton coldfield","NA"
2011,"Birmingham","Lower Parade, Sutton Coldfield","Lower Parade, Sutton Coldfield","NA"
2011,"Birmingham","Lower Parade, Sutton Coldfield","Lower Parade, Sutton Coldfield","NA"
2011,"Birmingham","Lower Parade, Sutton Coldfield","Lower Parade, Sutton Coldfield","NA"
2011,"Birmingham","Lower Parade, Sutton Coldfield","Lower Parade, Sutton Coldfield","NA"
2011,"Birmingham","Lower Parade, Sutton Coldfield","Lower Parade, Sutton Coldfield","NA"
2011,"Birmingham","Lower Parade, Sutton Coldfield","Lower Parade, Sutton Coldfield","NA"
2011,"Birmingham","Lower Parade, Sutton Coldfield","Lower Parade, Sutton Coldfield","NA"
2011,"Birmingham","Lower Parade, Sutton Coldfield","Lower Parade, Sutton Coldfield","NA"
2011,"Birmingham","Lower Parade, Sutton Coldfield","Lower Parade, Sutton Coldfield","NA"
2011,"Birmingham","Lower Parade, Sutton Coldfield","Lower Parade, Sutton Coldfield","NA"
2011,"Birmingham","Lower Parade, Sutton Coldfield","Lower Parade, Sutton Coldfield","NA"
2011,"Birmingham","Lower Parade, Sutton Coldfield","Lower Parade, Sutton Coldfield","NA"
2011,"Birmingham","Lower Parade, Sutton Coldfield","Lower Parade, Sutton Coldfield","NA"
2011,"Birmingham","Lower Parade, Sutton Coldfield town centre","Lower Parade, Sutton Coldfield town centre","NA"
2011,"Birmingham","Lower Parade, Sutton Coldfield town Centre","Lower Parade, Sutton Coldfield town Centre","NA"
2011,"Birmingham","Lower Parade, Sutton Coldfield.","Lower Parade, Sutton Coldfield.","NA"
2011,"Birmingham","Lydham close","Lydham close","NA"
2011,"Birmingham","Mill Street","Mill Street","NA"
2011,"Birmingham","Mill Street, Sutton Coldfield","Mill Street, Sutton Coldfield","NA"
2011,"Birmingham","Moor hall hotel","Moor hall hotel","NA"
2011,"Birmingham","Mulberry Court Carpark, Kings Road, Kingstanding, Birmingham","Mulberry Court Carpark, Kings Road, Kingstanding, Birmingham","NA"
2011,"Birmingham","Newhall walk car park","Newhall walk car park","NA"
2011,"Birmingham","Newhall walk car park","Newhall walk car park","NA"
2011,"Birmingham","O/S H/A","O/S H/A","NA"
2011,"Birmingham","O/s Litten Tree","O/s Litten Tree","NA"
2011,"Birmingham","O/S Litten Tree, S/C Town Centre","O/S Litten Tree, S/C Town Centre","NA"
2011,"Birmingham","O/S MooMoo Bar, S/c Town Centre","O/S MooMoo Bar, S/c Town Centre","NA"
2011,"Birmingham","O/s moomoo bar, South parade","O/s moomoo bar, South parade","NA"
2011,"Birmingham","O/s retro","O/s retro","NA"
2011,"Birmingham","O/S Retro , South parade","O/S Retro , South parade","NA"
2011,"Birmingham","O/S Retros","O/S Retros","NA"
2011,"Birmingham","O/S Royal Hotel, Lichfield Road","O/S Royal Hotel, Lichfield Road","NA"
2011,"Birmingham","O/s temple bar","O/s temple bar","NA"
2011,"Birmingham","O/S Temple Bar","O/S Temple Bar","NA"
2011,"Birmingham","O/S Temple Bar, High Street","O/S Temple Bar, High Street","NA"
